nohup: ignoring input

   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-20 19:34:22 /admin ........................................... ~ 5s
  2026-04-20 19:34:31 /api/v1/users/profile ............................ ~ 2s
  2026-04-20 19:34:34 /api/v1/users/User/count ......................... ~ 3s
  2026-04-20 19:34:34 /api/v1/users .................................... ~ 6s
  2026-04-20 19:34:37 /api/v1/brands/brand/count ....................... ~ 5s
  2026-04-20 19:34:40 /api/v1/categories/category/count ................ ~ 2s
  2026-04-20 19:34:42 /api/v1/products/products/count .................. ~ 3s
  2026-04-20 19:34:43 /api/v1/users/profile ............................ ~ 3s
  2026-04-20 19:34:45 /images/logo.png ........................... ~ 502.84ms
  2026-04-20 19:34:46 /favicon.ico ................................. ~ 0.24ms
  2026-04-20 19:34:46 /.well-known/appspecific/com.chrome.devtools.json  ~ 9s
  2026-04-20 19:35:44 /admin ........................................... ~ 3s
  2026-04-20 19:35:47 /.well-known/appspecific/com.chrome.devtools.json  ~ 3s
  2026-04-20 19:35:51 /api/v1/users/profile ............................ ~ 2s
  2026-04-20 19:35:51 /api/v1/users/User/count ......................... ~ 2s
  2026-04-20 19:35:51 /images/logo.png ................................. ~ 2s
  2026-04-20 19:35:53 /api/v1/users .............................. ~ 505.02ms
  2026-04-20 19:35:53 /api/v1/brands/brand/count ................... ~ 3.29ms
  2026-04-20 19:35:53 /api/v1/categories/category/count ............ ~ 1.60ms
  2026-04-20 19:35:53 /api/v1/users/profile ............................ ~ 2s
  2026-04-20 19:35:54 /api/v1/products/products/count .................. ~ 2s
  2026-04-20 19:35:56 /favicon.ico ................................. ~ 1.94ms
